,REF_DATE,GEO,DGUID,Month of birth,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
108,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, February",Number of live births,Number,223,units,0,v21400644,5.3.1,732.0,,,,0
109,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, February",Percentage of live births,Percentage,242,units,0,v21400645,5.3.2,7.7,,,,1
110,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, March",Number of live births,Number,223,units,0,v21400646,5.4.1,827.0,,,,0
111,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, March",Percentage of live births,Percentage,242,units,0,v21400647,5.4.2,8.7,,,,1
112,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, April",Number of live births,Number,223,units,0,v21400648,5.5.1,802.0,,,,0
113,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, April",Percentage of live births,Percentage,242,units,0,v21400649,5.5.2,8.4,,,,1
114,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, May",Number of live births,Number,223,units,0,v21400650,5.6.1,857.0,,,,0
115,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, May",Percentage of live births,Percentage,242,units,0,v21400651,5.6.2,9.0,,,,1
116,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, June",Number of live births,Number,223,units,0,v21400652,5.7.1,832.0,,,,0
117,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, June",Percentage of live births,Percentage,242,units,0,v21400653,5.7.2,8.8,,,,1
118,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, July",Number of live births,Number,223,units,0,v21400654,5.8.1,797.0,,,,0
119,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, July",Percentage of live births,Percentage,242,units,0,v21400655,5.8.2,8.4,,,,1
120,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, August",Number of live births,Number,223,units,0,v21400656,5.9.1,783.0,,,,0
121,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, August",Percentage of live births,Percentage,242,units,0,v21400657,5.9.2,8.2,,,,1
122,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, September",Number of live births,Number,223,units,0,v21400658,5.10.1,837.0,,,,0
123,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, September",Percentage of live births,Percentage,242,units,0,v21400659,5.10.2,8.8,,,,1
124,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, October",Number of live births,Number,223,units,0,v21400660,5.11.1,835.0,,,,0
125,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, October",Percentage of live births,Percentage,242,units,0,v21400661,5.11.2,8.8,,,,1
126,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, November",Number of live births,Number,223,units,0,v21400662,5.12.1,701.0,,,,0
127,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, November",Percentage of live births,Percentage,242,units,0,v21400663,5.12.2,7.4,,,,1
128,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, December",Number of live births,Number,223,units,0,v21400664,5.13.1,765.0,,,,0
129,1991-01-01,"New Brunswick, place of residence of mother",2016A000213,"Month of birth, December",Percentage of live births,Percentage,242,units,0,v21400665,5.13.2,8.1,,,,1
130,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Total, month of birth",Number of live births,Number,223,units,0,v21400666,6.1.1,97334.0,,,,0
131,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Total, month of birth",Percentage of live births,Percentage,242,units,0,v21400667,6.1.2,100.0,,,,1
132,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, January",Number of live births,Number,223,units,0,v21400668,6.2.1,7660.0,,,,0
133,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, January",Percentage of live births,Percentage,242,units,0,v21400669,6.2.2,7.9,,,,1
134,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, February",Number of live births,Number,223,units,0,v21400670,6.3.1,7366.0,,,,0
135,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, February",Percentage of live births,Percentage,242,units,0,v21400671,6.3.2,7.6,,,,1
136,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, March",Number of live births,Number,223,units,0,v21400672,6.4.1,8650.0,,,,0
137,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, March",Percentage of live births,Percentage,242,units,0,v21400673,6.4.2,8.9,,,,1
138,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, April",Number of live births,Number,223,units,0,v21400674,6.5.1,8737.0,,,,0
139,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, April",Percentage of live births,Percentage,242,units,0,v21400675,6.5.2,9.0,,,,1
140,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, May",Number of live births,Number,223,units,0,v21400676,6.6.1,8755.0,,,,0
141,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, May",Percentage of live births,Percentage,242,units,0,v21400677,6.6.2,9.0,,,,1
142,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, June",Number of live births,Number,223,units,0,v21400678,6.7.1,8300.0,,,,0
143,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, June",Percentage of live births,Percentage,242,units,0,v21400679,6.7.2,8.5,,,,1
144,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, July",Number of live births,Number,223,units,0,v21400680,6.8.1,8587.0,,,,0
145,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, July",Percentage of live births,Percentage,242,units,0,v21400681,6.8.2,8.8,,,,1
146,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, August",Number of live births,Number,223,units,0,v21400682,6.9.1,8046.0,,,,0
147,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, August",Percentage of live births,Percentage,242,units,0,v21400683,6.9.2,8.3,,,,1
148,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, September",Number of live births,Number,223,units,0,v21400684,6.10.1,8242.0,,,,0
149,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, September",Percentage of live births,Percentage,242,units,0,v21400685,6.10.2,8.5,,,,1
150,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, October",Number of live births,Number,223,units,0,v21400686,6.11.1,7807.0,,,,0
151,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, October",Percentage of live births,Percentage,242,units,0,v21400687,6.11.2,8.0,,,,1
152,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, November",Number of live births,Number,223,units,0,v21400688,6.12.1,7413.0,,,,0
153,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, November",Percentage of live births,Percentage,242,units,0,v21400689,6.12.2,7.6,,,,1
154,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, December",Number of live births,Number,223,units,0,v21400690,6.13.1,7771.0,,,,0
155,1991-01-01,"Quebec, place of residence of mother",2016A000224,"Month of birth, December",Percentage of live births,Percentage,242,units,0,v21400691,6.13.2,8.0,,,,1
156,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Total, month of birth",Number of live births,Number,223,units,0,v21400692,7.1.1,152711.0,,,,0
157,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Total, month of birth",Percentage of live births,Percentage,242,units,0,v21400693,7.1.2,100.0,,,,1
158,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, January",Number of live births,Number,223,units,0,v21400694,7.2.1,11979.0,,,,0
159,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, January",Percentage of live births,Percentage,242,units,0,v21400695,7.2.2,7.8,,,,1
160,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, February",Number of live births,Number,223,units,0,v21400696,7.3.1,11259.0,,,,0
161,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, February",Percentage of live births,Percentage,242,units,0,v21400697,7.3.2,7.4,,,,1
162,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, March",Number of live births,Number,223,units,0,v21400698,7.4.1,12982.0,,,,0
163,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, March",Percentage of live births,Percentage,242,units,0,v21400699,7.4.2,8.5,,,,1
164,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, April",Number of live births,Number,223,units,0,v21400700,7.5.1,13474.0,,,,0
165,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, April",Percentage of live births,Percentage,242,units,0,v21400701,7.5.2,8.8,,,,1
166,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, May",Number of live births,Number,223,units,0,v21400702,7.6.1,13768.0,,,,0
167,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, May",Percentage of live births,Percentage,242,units,0,v21400703,7.6.2,9.0,,,,1
168,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, June",Number of live births,Number,223,units,0,v21400704,7.7.1,12952.0,,,,0
169,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, June",Percentage of live births,Percentage,242,units,0,v21400705,7.7.2,8.5,,,,1
170,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, July",Number of live births,Number,223,units,0,v21400706,7.8.1,13524.0,,,,0
171,1991-01-01,"Ontario, place of residence of mother",2016A000235,"Month of birth, July",Percentage of live births,Percentage,242,units,0,v21400707,7.8.2,8.9,,,,1
